GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
menuitem,edu.ucsb.cs156.pconrad.menuitem,MenuItem,0,60,0,2,0,14,0,8,0,7
menuitem,edu.ucsb.cs156.pconrad.menuitem,MenuItem.TooNarrowException,0,3,0,0,0,1,0,1,0,1
